Product,Return_Reason,Category,Cleaned_Reason
Power Bank,Handle broke,Quality Issue,handle broke
T-Shirt,Screen flickering,Quality Issue,screen flickering
Chair,Product has Bent frame after first use,Damaged Product,product bent frame first use
Power Bank,Pattern different after first use,Color Mismatch,pattern different first use
Keyboard,Issue: Delivery delayed,Delivery Delay,issue delivery delayed
Keyboard,Issue: Needed earlier during use,Delivery Delay,issue needed earlier use
Power Bank,Received Neck too tight,Size Issue,received neck tight
Shirt,Product has Manual missing,Missing Parts,product manual missing
Smartwatch,Received Poor stitching,Quality Issue,received poor stitching
Mouse,Size too large,Size Issue,size large
Electric Kettle,Product has Remote missing during use,Missing Parts,product remote missing use
Power Bank,Issue: Image misleading during use,Color Mismatch,issue image misleading use
Kurti,Received Handle broke,Quality Issue,received handle broke
Backpack,Power issue after first use,Battery Issue,power issue first use
Electric Kettle,Damaged during delivery,Damaged Product,damaged delivery
Smartwatch,Very slow delivery during use,Delivery Delay,slow delivery use
Power Bank,Received Package torn after first use,Damaged Product,received package torn first use
Bedsheet,Received another product,Wrong Item,received another product
Electric Kettle,Stand missing after first use,Missing Parts,stand missing first use
T-Shirt,Broken on arrival,Damaged Product,broken arrival
Sandals,Delayed by one week after first use,Delivery Delay,delayed one week first use
Power Bank,Product has Ordered medium received small,Size Issue,product ordered medium received small
Kurti,Damaged during delivery,Damaged Product,damaged delivery
Air Fryer,Bent frame,Damaged Product,bent frame
Mixer,Product has Expected black got blue,Color Mismatch,product expected black got blue
Mixer,Received Glass shattered,Damaged Product,received glass shattered
Chair,Issue: Charging very slow,Battery Issue,issue charging slow
Keyboard,Received Image misleading during use,Color Mismatch,received image misleading use
Mixer,Issue: Remote missing after first use,Missing Parts,issue remote missing first use
Headphones,Received Missed delivery date after first use,Delivery Delay,received missed delivery date first use
Chair,Issue: Delivered too late during use,Delivery Delay,issue delivered late use
Headphones,Received Charging very slow after first use,Battery Issue,received charging slow first use
Power Bank,Received Wrong color received,Color Mismatch,received wrong color received
Bluetooth Speaker,Issue: Damaged during delivery,Damaged Product,issue damaged delivery
Laptop,Size too large,Size Issue,size large
Laptop,Received Leaking bottle,Damaged Product,received leaking bottle
Laptop,Sleeves too short during use,Size Issue,sleeve short use
Curtains,Product has Bent frame during use,Damaged Product,product bent frame use
Air Fryer,Received Scratched item during use,Damaged Product,received scratched item use
Handbag,Received Very slow delivery,Delivery Delay,received slow delivery
Keyboard,Issue: Wrong brand received during use,Wrong Item,issue wrong brand received use
Electric Kettle,Received Stopped working after one day after first use,Quality Issue,received stopped working one day first use
Smartwatch,Color looks different,Color Mismatch,color look different
Shirt,Received Cracked product,Damaged Product,received cracked product
Kurti,Product has Manual missing,Missing Parts,product manual missing
Table,Product has Glass shattered during use,Damaged Product,product glass shattered use
Electric Kettle,Issue: Printed color faded during use,Color Mismatch,issue printed color faded use
Bedsheet,Received Needed earlier after first use,Delivery Delay,received needed earlier first use
Mouse,Product has Power issue,Battery Issue,product power issue
Jeans,Neck too tight,Size Issue,neck tight
Kurti,Product has Ordered medium received small,Size Issue,product ordered medium received small
Laptop,Battery drains quickly during use,Battery Issue,battery drain quickly use
Helmet,Color different from image during use,Color Mismatch,color different image use
Shirt,Delivered too late,Delivery Delay,delivered late
Shirt,Missing screws,Missing Parts,missing screw
Keyboard,Issue: Wrong item delivered after first use,Wrong Item,issue wrong item delivered first use
Keyboard,Product has Fabric quality poor after first use,Quality Issue,product fabric quality poor first use
Keyboard,Received Bent frame,Damaged Product,received bent frame
Shoes,Received Wrong color and model during use,Wrong Item,received wrong color model use
Headphones,Product has Delayed by one week,Delivery Delay,product delayed one week
Shoes,Issue: Poor stitching during use,Quality Issue,issue poor stitching use
Mouse,Attachment missing,Missing Parts,attachment missing
Mouse,Issue: Battery not charging,Battery Issue,issue battery charging
Jeans,Product has Handle broke after first use,Quality Issue,product handle broke first use
Jeans,Late shipment,Delivery Delay,late shipment
Air Fryer,Doesn't fit after first use,Size Issue,doesnt fit first use
Shoes,Received Charging very slow after first use,Battery Issue,received charging slow first use
Backpack,Bent frame,Damaged Product,bent frame
Curtains,Remote missing,Missing Parts,remote missing
T-Shirt,Issue: Color different from image after first use,Color Mismatch,issue color different image first use
Helmet,Sound quality poor,Quality Issue,sound quality poor
Shirt,Received One part missing during use,Missing Parts,received one part missing use
Water Bottle,Missed delivery date during use,Delivery Delay,missed delivery date use
Sandals,Remote missing during use,Missing Parts,remote missing use
Mixer,Product has Screen flickering,Quality Issue,product screen flickering
Kurti,Issue: Left earbud not working after first use,Quality Issue,issue left earbud working first use
Water Bottle,One part missing,Missing Parts,one part missing
Power Bank,Received Waist too tight,Size Issue,received waist tight
Shoes,Product has Button came off during use,Quality Issue,product button came use
Chair,Very slow delivery during use,Delivery Delay,slow delivery use
Shoes,Received Poor stitching,Quality Issue,received poor stitching
Helmet,Received Screen flickering during use,Quality Issue,received screen flickering use
Smartwatch,Issue: Waist too tight,Size Issue,issue waist tight
Keyboard,Product has Bent frame during use,Damaged Product,product bent frame use
Bluetooth Speaker,Received Battery overheats,Battery Issue,received battery overheats
Shoes,Product has Needed earlier during use,Delivery Delay,product needed earlier use
Mixer,Issue: Wrong color and model,Wrong Item,issue wrong color model
Headphones,Issue: Printed color faded,Color Mismatch,issue printed color faded
T-Shirt,Product has Leaking bottle,Damaged Product,product leaking bottle
Air Fryer,Ordered medium received small during use,Size Issue,ordered medium received small use
Air Fryer,Issue: Design color mismatch,Color Mismatch,issue design color mismatch
Air Fryer,Shuts down suddenly after first use,Battery Issue,shuts suddenly first use
Phone,Issue: Package arrived after event,Delivery Delay,issue package arrived event
Table,Product has Order mixed up,Wrong Item,product order mixed
Backpack,Received Manual missing,Missing Parts,received manual missing
Chair,Product has Bent frame,Damaged Product,product bent frame
Curtains,Product has Fit not as expected during use,Size Issue,product fit expected use
Smartwatch,Issue: Different model received after first use,Wrong Item,issue different model received first use
Bluetooth Speaker,Product has Received another product during use,Wrong Item,product received another product use
Power Bank,Accessories missing during use,Missing Parts,accessory missing use
Keyboard,Issue: Attachment missing,Missing Parts,issue attachment missing
Curtains,Length too short,Size Issue,length short
Electric Kettle,Product has Fabric quality poor,Quality Issue,product fabric quality poor
Jeans,Won't hold charge during use,Battery Issue,wont hold charge use
T-Shirt,Image misleading,Color Mismatch,image misleading
Keyboard,Received another product,Wrong Item,received another product
Water Bottle,Issue: Leaking bottle during use,Damaged Product,issue leaking bottle use
Shirt,Issue: Battery dies in two hours,Battery Issue,issue battery dy two hour
Shoes,Wrong color and model after first use,Wrong Item,wrong color model first use
Air Fryer,Issue: Printed color faded after first use,Color Mismatch,issue printed color faded first use
Mouse,Package arrived after event during use,Delivery Delay,package arrived event use
Shoes,Received Package arrived after event,Delivery Delay,received package arrived event
Air Fryer,Poor stitching after first use,Quality Issue,poor stitching first use
Phone,Scratched item after first use,Damaged Product,scratched item first use
Smartwatch,Issue: Pattern different after first use,Color Mismatch,issue pattern different first use
Phone,Issue: Remote missing during use,Missing Parts,issue remote missing use
Laptop,Issue: Too loose,Size Issue,issue loose
Shirt,Product has Charger missing after first use,Missing Parts,product charger missing first use
Table,Different model received,Wrong Item,different model received
Air Fryer,Product has Battery dies in two hours during use,Battery Issue,product battery dy two hour use
Sandals,Issue: Left earbud not working,Quality Issue,issue left earbud working
Backpack,Color inaccurate during use,Color Mismatch,color inaccurate use
Water Bottle,Issue: Sound quality poor,Quality Issue,issue sound quality poor
Helmet,Shuts down suddenly,Battery Issue,shuts suddenly
T-Shirt,Product has Battery dies in two hours,Battery Issue,product battery dy two hour
Water Bottle,Product has Button came off,Quality Issue,product button came
Helmet,Product has Charger missing,Missing Parts,product charger missing
Phone,Issue: Charger missing,Missing Parts,issue charger missing
Phone,Issue: Power issue,Battery Issue,issue power issue
Air Fryer,Issue: Battery overheats,Battery Issue,issue battery overheats
Shirt,Issue: Length too short after first use,Size Issue,issue length short first use
Chair,Glass shattered during use,Damaged Product,glass shattered use
Smartwatch,Issue: Lid missing during use,Missing Parts,issue lid missing use
Table,Battery not charging after first use,Battery Issue,battery charging first use
Bluetooth Speaker,Product has Wrong item delivered,Wrong Item,product wrong item delivered
Electric Kettle,Issue: Incorrect size sent,Wrong Item,issue incorrect size sent
Keyboard,Very slow delivery,Delivery Delay,slow delivery
Electric Kettle,Left earbud not working,Quality Issue,left earbud working
Chair,Product has Fit not as expected during use,Size Issue,product fit expected use
Mixer,Zip not working during use,Quality Issue,zip working use
Shoes,Issue: Wrong brand received,Wrong Item,issue wrong brand received
Bedsheet,Package torn,Damaged Product,package torn
Helmet,Product has Remote missing after first use,Missing Parts,product remote missing first use
Table,Received Damaged during delivery,Damaged Product,received damaged delivery
Chair,Product has Different design received,Wrong Item,product different design received
Table,Received Wrong variant delivered,Wrong Item,received wrong variant delivered
Electric Kettle,Issue: Button came off,Quality Issue,issue button came
Curtains,Product has Incorrect size sent after first use,Wrong Item,product incorrect size sent first use
Headphones,Issue: Battery dies in two hours during use,Battery Issue,issue battery dy two hour use
Handbag,Received Won't hold charge during use,Battery Issue,received wont hold charge use
Shoes,Lid missing during use,Missing Parts,lid missing use
Power Bank,Issue: Wrong brand received,Wrong Item,issue wrong brand received
Bedsheet,Issue: Size too large,Size Issue,issue size large
Backpack,Product has Handle broke during use,Quality Issue,product handle broke use
Bluetooth Speaker,Received Leaking bottle,Damaged Product,received leaking bottle
Table,Product has Pattern different,Color Mismatch,product pattern different
Sandals,Package arrived after event,Delivery Delay,package arrived event
Shirt,Stopped working after one day after first use,Quality Issue,stopped working one day first use
Shirt,Issue: Delivery rescheduled after first use,Delivery Delay,issue delivery rescheduled first use
Phone,Received Shuts down suddenly,Battery Issue,received shuts suddenly
Shoes,Received Printed color faded after first use,Color Mismatch,received printed color faded first use
Handbag,Received Ordered medium received small after first use,Size Issue,received ordered medium received small first use
Curtains,Accessories missing,Missing Parts,accessory missing
Shoes,Product has Leaking bottle,Damaged Product,product leaking bottle
Sandals,Issue: Scratched item,Damaged Product,issue scratched item
T-Shirt,Issue: Length too short after first use,Size Issue,issue length short first use
Headphones,Issue: Delivery delayed,Delivery Delay,issue delivery delayed
Air Fryer,Received Fabric quality poor,Quality Issue,received fabric quality poor
Electric Kettle,Product has Charging very slow after first use,Battery Issue,product charging slow first use
Table,Handle broke,Quality Issue,handle broke
Water Bottle,Product has Battery swollen after first use,Battery Issue,product battery swollen first use
Sandals,Issue: Stand missing after first use,Missing Parts,issue stand missing first use
Kurti,Fabric quality poor,Quality Issue,fabric quality poor
Smartwatch,Received One part missing after first use,Missing Parts,received one part missing first use
Handbag,Display cracked after first use,Damaged Product,display cracked first use
Sandals,Received Wrong item delivered after first use,Wrong Item,received wrong item delivered first use
Mixer,Glass shattered after first use,Damaged Product,glass shattered first use
T-Shirt,Product has Courier delay during use,Delivery Delay,product courier delay use
Shirt,Received Handle broke,Quality Issue,received handle broke
Table,Issue: Charging very slow,Battery Issue,issue charging slow
Electric Kettle,Battery swollen,Battery Issue,battery swollen
Bluetooth Speaker,Product has Poor stitching,Quality Issue,product poor stitching
Keyboard,Received Ordered medium received small,Size Issue,received ordered medium received small
Curtains,Issue: Charger missing,Missing Parts,issue charger missing
Shoes,Received Shuts down suddenly,Battery Issue,received shuts suddenly
Chair,Received Cracked product during use,Damaged Product,received cracked product use
Curtains,Issue: Left earbud not working after first use,Quality Issue,issue left earbud working first use
Shoes,Issue: Sleeves too short,Size Issue,issue sleeve short
Helmet,Delayed by one week,Delivery Delay,delayed one week
Shirt,Product has Battery not charging,Battery Issue,product battery charging
Water Bottle,Battery swollen,Battery Issue,battery swollen
Water Bottle,Product has Incorrect size sent,Wrong Item,product incorrect size sent
Air Fryer,Issue: Poor stitching,Quality Issue,issue poor stitching
Curtains,Left earbud not working,Quality Issue,left earbud working
Keyboard,Received Delivery rescheduled,Delivery Delay,received delivery rescheduled
Phone,Received Delayed by one week after first use,Delivery Delay,received delayed one week first use
Table,Different model received after first use,Wrong Item,different model received first use
Shirt,Product has Size too small,Size Issue,product size small
Backpack,Product has Package arrived after event after first use,Delivery Delay,product package arrived event first use
Curtains,Issue: Neck too tight after first use,Size Issue,issue neck tight first use
Smartwatch,Received Expected black got blue,Color Mismatch,received expected black got blue
Water Bottle,Screen flickering,Quality Issue,screen flickering
Headphones,Doesn't fit,Size Issue,doesnt fit
Power Bank,Received Accessories missing,Missing Parts,received accessory missing
Chair,Issue: Wrong color received,Color Mismatch,issue wrong color received
Mixer,Expected black got blue,Color Mismatch,expected black got blue
Water Bottle,Leaking bottle during use,Damaged Product,leaking bottle use
Electric Kettle,Product has Scratched item after first use,Damaged Product,product scratched item first use
Shirt,Product has Ordered medium received small,Size Issue,product ordered medium received small
Air Fryer,Color different from image during use,Color Mismatch,color different image use
Laptop,Different model received after first use,Wrong Item,different model received first use
Jeans,Product has Lid missing,Missing Parts,product lid missing
Headphones,Poor stitching during use,Quality Issue,poor stitching use
Bedsheet,Design color mismatch,Color Mismatch,design color mismatch
Kurti,Issue: Handle broke,Quality Issue,issue handle broke
Sandals,Product has Ordered medium received small after first use,Size Issue,product ordered medium received small first use
Air Fryer,Issue: Wrong variant delivered,Wrong Item,issue wrong variant delivered
Bluetooth Speaker,Product has Design color mismatch,Color Mismatch,product design color mismatch
Electric Kettle,Cracked product,Damaged Product,cracked product
Phone,Issue: Battery not charging during use,Battery Issue,issue battery charging use
T-Shirt,Image misleading,Color Mismatch,image misleading
Mixer,Issue: Leaking bottle,Damaged Product,issue leaking bottle
Phone,Received Fabric quality poor,Quality Issue,received fabric quality poor
Air Fryer,Product has Sleeves too short,Size Issue,product sleeve short
Backpack,Dent on product,Damaged Product,dent product
Phone,Wrong variant delivered during use,Wrong Item,wrong variant delivered use
Bedsheet,Very slow delivery after first use,Delivery Delay,slow delivery first use
T-Shirt,Product has Stopped working after one day,Quality Issue,product stopped working one day
Electric Kettle,Product has Size too small after first use,Size Issue,product size small first use
Water Bottle,Glass shattered,Damaged Product,glass shattered
Shirt,Different model received after first use,Wrong Item,different model received first use
Shoes,Received Needed earlier,Delivery Delay,received needed earlier
Jeans,Product has Fit not as expected,Size Issue,product fit expected
Mouse,Charger missing during use,Missing Parts,charger missing use
Water Bottle,Product has Remote missing after first use,Missing Parts,product remote missing first use
Power Bank,Product has Wrong variant delivered,Wrong Item,product wrong variant delivered
Mouse,Issue: Display cracked,Damaged Product,issue display cracked
Shoes,Received Delivered too late during use,Delivery Delay,received delivered late use
Laptop,Charging very slow after first use,Battery Issue,charging slow first use
Curtains,Received Ordered medium received small during use,Size Issue,received ordered medium received small use
Table,Package arrived after event,Delivery Delay,package arrived event
Phone,Manual missing,Missing Parts,manual missing
Electric Kettle,Received Damaged during delivery,Damaged Product,received damaged delivery
Water Bottle,Very slow delivery after first use,Delivery Delay,slow delivery first use
Headphones,Product has Battery not charging,Battery Issue,product battery charging
Table,Issue: Sleeves too short,Size Issue,issue sleeve short
Headphones,Battery overheats,Battery Issue,battery overheats
Shirt,Received Color inaccurate,Color Mismatch,received color inaccurate
Laptop,Issue: Won't hold charge,Battery Issue,issue wont hold charge
Mouse,Incorrect size sent,Wrong Item,incorrect size sent
Helmet,Product has Sleeves too short,Size Issue,product sleeve short
Air Fryer,Delivered too late after first use,Delivery Delay,delivered late first use
Curtains,Product has Battery dies in two hours,Battery Issue,product battery dy two hour
Kurti,Size too small after first use,Size Issue,size small first use
Water Bottle,Handle broke,Quality Issue,handle broke
T-Shirt,Received Stand missing,Missing Parts,received stand missing
Phone,Issue: Shade not matching during use,Color Mismatch,issue shade matching use
Curtains,Shade not matching,Color Mismatch,shade matching
Sandals,Expected black got blue after first use,Color Mismatch,expected black got blue first use
Bedsheet,Received Manual missing after first use,Missing Parts,received manual missing first use
Curtains,Battery drains quickly during use,Battery Issue,battery drain quickly use
Helmet,Received Doesn't fit,Size Issue,received doesnt fit
T-Shirt,Issue: Bent frame after first use,Damaged Product,issue bent frame first use
Headphones,Received Wrong color received,Color Mismatch,received wrong color received
Curtains,Received Battery not charging during use,Battery Issue,received battery charging use
Laptop,Product has Waist too tight,Size Issue,product waist tight
T-Shirt,Printed color faded,Color Mismatch,printed color faded
Bedsheet,Issue: Lid missing after first use,Missing Parts,issue lid missing first use
Backpack,Received Lid missing,Missing Parts,received lid missing
Mouse,Accessories missing after first use,Missing Parts,accessory missing first use
Shoes,Battery swollen,Battery Issue,battery swollen
Bluetooth Speaker,Length too short,Size Issue,length short
Backpack,Product has Shade not matching,Color Mismatch,product shade matching
Helmet,Sound quality poor during use,Quality Issue,sound quality poor use
Handbag,Product has Ordered medium received small,Size Issue,product ordered medium received small
Jeans,Remote missing,Missing Parts,remote missing
Smartwatch,Package torn,Damaged Product,package torn
Mixer,Product has Wrong variant delivered,Wrong Item,product wrong variant delivered
Table,Ordered medium received small during use,Size Issue,ordered medium received small use
Water Bottle,Battery drains quickly during use,Battery Issue,battery drain quickly use
Sandals,Left earbud not working during use,Quality Issue,left earbud working use
Shirt,Product has Broken on arrival after first use,Damaged Product,product broken arrival first use
Mouse,Different model received,Wrong Item,different model received
Mouse,Received Lid missing,Missing Parts,received lid missing
Water Bottle,Issue: Remote missing,Missing Parts,issue remote missing
Jeans,Received Battery swollen during use,Battery Issue,received battery swollen use
Headphones,Received Late shipment,Delivery Delay,received late shipment
Electric Kettle,Doesn't fit,Size Issue,doesnt fit
Smartwatch,Pattern different after first use,Color Mismatch,pattern different first use
Keyboard,Issue: Ordered medium received small,Size Issue,issue ordered medium received small
Headphones,Issue: Delayed by one week,Delivery Delay,issue delayed one week
Curtains,Material feels cheap,Quality Issue,material feel cheap
Electric Kettle,Issue: Battery not charging after first use,Battery Issue,issue battery charging first use
Laptop,Product has Battery backup poor,Battery Issue,product battery backup poor
Sandals,Issue: Accessories missing after first use,Missing Parts,issue accessory missing first use
Bluetooth Speaker,Received Won't hold charge,Battery Issue,received wont hold charge
Chair,Issue: Material feels cheap,Quality Issue,issue material feel cheap
Keyboard,Issue: Printed color faded,Color Mismatch,issue printed color faded
Smartwatch,Product has Accessories missing after first use,Missing Parts,product accessory missing first use
Table,Fabric quality poor,Quality Issue,fabric quality poor
Bluetooth Speaker,Issue: Image misleading during use,Color Mismatch,issue image misleading use
Phone,Received Delivered too late during use,Delivery Delay,received delivered late use
Helmet,Issue: Won't hold charge,Battery Issue,issue wont hold charge
Curtains,Product has One part missing,Missing Parts,product one part missing
Water Bottle,Late shipment,Delivery Delay,late shipment
Bluetooth Speaker,Issue: Wrong variant delivered,Wrong Item,issue wrong variant delivered
Mixer,Issue: Cracked product,Damaged Product,issue cracked product
Helmet,Wrong color and model after first use,Wrong Item,wrong color model first use
Smartwatch,Issue: Missed delivery date,Delivery Delay,issue missed delivery date
Keyboard,Product has Color different from image,Color Mismatch,product color different image
Backpack,Product has Incorrect product,Wrong Item,product incorrect product
Laptop,Product has Doesn't fit,Size Issue,product doesnt fit
Power Bank,Damaged during delivery,Damaged Product,damaged delivery
Water Bottle,Issue: Display cracked,Damaged Product,issue display cracked
Sandals,Accessories missing after first use,Missing Parts,accessory missing first use
Helmet,Issue: Design color mismatch after first use,Color Mismatch,issue design color mismatch first use
Chair,Received Delayed by one week,Delivery Delay,received delayed one week
Bedsheet,Shuts down suddenly,Battery Issue,shuts suddenly
Jeans,Product has Ordered medium received small,Size Issue,product ordered medium received small
Handbag,Product has Package torn after first use,Damaged Product,product package torn first use
Keyboard,Wrong color and model,Wrong Item,wrong color model
Handbag,Product has Needed earlier,Delivery Delay,product needed earlier
Bluetooth Speaker,Sleeves too short,Size Issue,sleeve short
Backpack,Received Wrong color and model during use,Wrong Item,received wrong color model use
Power Bank,Received Received another product,Wrong Item,received received another product
T-Shirt,Stand missing,Missing Parts,stand missing
Handbag,Pattern different,Color Mismatch,pattern different
Sandals,Wrong variant delivered during use,Wrong Item,wrong variant delivered use
Bluetooth Speaker,Received Sound quality poor,Quality Issue,received sound quality poor
Laptop,Product has Wrong variant delivered,Wrong Item,product wrong variant delivered
Helmet,Issue: Damaged during delivery,Damaged Product,issue damaged delivery
Handbag,Issue: Battery drains quickly,Battery Issue,issue battery drain quickly
Backpack,Issue: Wrong color and model,Wrong Item,issue wrong color model
Bedsheet,Product has Dent on product,Damaged Product,product dent product
Keyboard,Received Package arrived after event after first use,Delivery Delay,received package arrived event first use
T-Shirt,Issue: Shuts down suddenly after first use,Battery Issue,issue shuts suddenly first use
Electric Kettle,Product has Incorrect product,Wrong Item,product incorrect product
Water Bottle,Product has Zip not working,Quality Issue,product zip working
Water Bottle,Received One part missing,Missing Parts,received one part missing
T-Shirt,Issue: Order mixed up,Wrong Item,issue order mixed
Laptop,Stopped working after one day,Quality Issue,stopped working one day
Mixer,Issue: Attachment missing,Missing Parts,issue attachment missing
Laptop,Received Battery overheats during use,Battery Issue,received battery overheats use
Air Fryer,Product has Needed earlier,Delivery Delay,product needed earlier
Handbag,Product has Package arrived after event,Delivery Delay,product package arrived event
Power Bank,Received Size too small after first use,Size Issue,received size small first use
Electric Kettle,Product has Won't hold charge during use,Battery Issue,product wont hold charge use
Helmet,Issue: Button came off during use,Quality Issue,issue button came use
Mouse,Issue: Charger missing,Missing Parts,issue charger missing
Laptop,Received Neck too tight,Size Issue,received neck tight
Laptop,Pattern different,Color Mismatch,pattern different
Curtains,Received Package torn,Damaged Product,received package torn
Backpack,Battery not charging,Battery Issue,battery charging
Shoes,Incorrect size sent,Wrong Item,incorrect size sent
Bedsheet,Order mixed up,Wrong Item,order mixed
Sandals,Product has Image misleading,Color Mismatch,product image misleading
Electric Kettle,Product has Package arrived after event after first use,Delivery Delay,product package arrived event first use
Headphones,Product has Missing screws after first use,Missing Parts,product missing screw first use
Table,Damaged during delivery after first use,Damaged Product,damaged delivery first use
Curtains,Sound quality poor during use,Quality Issue,sound quality poor use
Helmet,Incorrect product,Wrong Item,incorrect product
Handbag,Size too large,Size Issue,size large
Power Bank,Issue: Material feels cheap,Quality Issue,issue material feel cheap
Curtains,Product has Order mixed up after first use,Wrong Item,product order mixed first use
Smartwatch,Waist too tight,Size Issue,waist tight
Helmet,Product has Different design received during use,Wrong Item,product different design received use
Bedsheet,Handle broke,Quality Issue,handle broke
T-Shirt,Issue: Different model received after first use,Wrong Item,issue different model received first use
Keyboard,Product has Display cracked,Damaged Product,product display cracked
Phone,Manual missing,Missing Parts,manual missing
Curtains,Issue: Missed delivery date,Delivery Delay,issue missed delivery date
Shirt,Damaged during delivery,Damaged Product,damaged delivery
Shoes,Needed earlier,Delivery Delay,needed earlier
Handbag,Product has Left earbud not working during use,Quality Issue,product left earbud working use
Power Bank,Wrong variant delivered,Wrong Item,wrong variant delivered
Mixer,Received Battery drains quickly,Battery Issue,received battery drain quickly
T-Shirt,Accessories missing,Missing Parts,accessory missing
Air Fryer,Received Battery overheats during use,Battery Issue,received battery overheats use
Water Bottle,Received Different model received after first use,Wrong Item,received different model received first use
Backpack,Issue: Material feels cheap,Quality Issue,issue material feel cheap
Smartwatch,Product has Lid missing,Missing Parts,product lid missing
Phone,Battery drains quickly during use,Battery Issue,battery drain quickly use
Sandals,Issue: Delayed by one week after first use,Delivery Delay,issue delayed one week first use
Helmet,One part missing after first use,Missing Parts,one part missing first use
T-Shirt,Issue: Delivery rescheduled during use,Delivery Delay,issue delivery rescheduled use
Bluetooth Speaker,Received Size too large,Size Issue,received size large
Keyboard,Dent on product,Damaged Product,dent product
Sandals,Product has Material feels cheap during use,Quality Issue,product material feel cheap use
Kurti,Image misleading,Color Mismatch,image misleading
Handbag,Product has Size too small,Size Issue,product size small
Phone,Delivery rescheduled during use,Delivery Delay,delivery rescheduled use
Air Fryer,Received Expected black got blue,Color Mismatch,received expected black got blue
Handbag,Issue: Scratched item during use,Damaged Product,issue scratched item use
Power Bank,Issue: Broken on arrival,Damaged Product,issue broken arrival
Mouse,Issue: Delivery delayed,Delivery Delay,issue delivery delayed
Bedsheet,Stopped working after one day,Quality Issue,stopped working one day
Jeans,Charger missing,Missing Parts,charger missing
Helmet,Size too large,Size Issue,size large
Air Fryer,Received Leaking bottle,Damaged Product,received leaking bottle
Air Fryer,Leaking bottle,Damaged Product,leaking bottle
Curtains,Issue: Package arrived after event,Delivery Delay,issue package arrived event
Shirt,Received Zip not working,Quality Issue,received zip working
Keyboard,Received Incorrect product,Wrong Item,received incorrect product
Mouse,Product has Doesn't fit during use,Size Issue,product doesnt fit use
Helmet,Product has Left earbud not working after first use,Quality Issue,product left earbud working first use
Laptop,Issue: Material feels cheap after first use,Quality Issue,issue material feel cheap first use
Electric Kettle,Issue: Wrong color received,Color Mismatch,issue wrong color received
Power Bank,Stopped working after one day,Quality Issue,stopped working one day
Shirt,Battery swollen,Battery Issue,battery swollen
Mouse,Stand missing after first use,Missing Parts,stand missing first use
T-Shirt,Issue: Battery overheats,Battery Issue,issue battery overheats
Backpack,Issue: Pattern different,Color Mismatch,issue pattern different
Backpack,Received Display cracked,Damaged Product,received display cracked
Kurti,Issue: Needed earlier,Delivery Delay,issue needed earlier
Air Fryer,Incorrect product after first use,Wrong Item,incorrect product first use
Helmet,Received Package torn,Damaged Product,received package torn
Keyboard,Battery overheats,Battery Issue,battery overheats
Chair,Issue: Sound quality poor,Quality Issue,issue sound quality poor
Mixer,Issue: Attachment missing,Missing Parts,issue attachment missing
Backpack,Product has Poor stitching,Quality Issue,product poor stitching
Bluetooth Speaker,Product has Sleeves too short,Size Issue,product sleeve short
Jeans,Received Incorrect size sent after first use,Wrong Item,received incorrect size sent first use
Power Bank,Length too short,Size Issue,length short
Backpack,Product has Scratched item,Damaged Product,product scratched item
Backpack,Issue: Wrong item delivered during use,Wrong Item,issue wrong item delivered use
Jeans,Pattern different,Color Mismatch,pattern different
Electric Kettle,Issue: Bent frame after first use,Damaged Product,issue bent frame first use
Chair,Color inaccurate after first use,Color Mismatch,color inaccurate first use
Power Bank,Product has Display cracked,Damaged Product,product display cracked
Bedsheet,Battery overheats,Battery Issue,battery overheats
Smartwatch,Received Missing screws,Missing Parts,received missing screw
Phone,Incorrect size sent,Wrong Item,incorrect size sent
Power Bank,Product has Length too short,Size Issue,product length short
Helmet,Battery dies in two hours,Battery Issue,battery dy two hour
Table,Order mixed up,Wrong Item,order mixed
Keyboard,Product has Sound quality poor after first use,Quality Issue,product sound quality poor first use
Phone,Issue: Handle broke,Quality Issue,issue handle broke
Water Bottle,Product has Accessories missing after first use,Missing Parts,product accessory missing first use
Water Bottle,Received Color looks different after first use,Color Mismatch,received color look different first use
Electric Kettle,Very slow delivery,Delivery Delay,slow delivery
Headphones,Design color mismatch,Color Mismatch,design color mismatch
Sandals,Received Damaged during delivery during use,Damaged Product,received damaged delivery use
Bluetooth Speaker,Material feels cheap,Quality Issue,material feel cheap
Electric Kettle,Received Neck too tight,Size Issue,received neck tight
Jeans,Received Delivery rescheduled after first use,Delivery Delay,received delivery rescheduled first use
Shoes,Pattern different after first use,Color Mismatch,pattern different first use
Laptop,Product has Size too large during use,Size Issue,product size large use
Chair,Issue: Zip not working,Quality Issue,issue zip working
Power Bank,Received Battery drains quickly,Battery Issue,received battery drain quickly
Jeans,Product has Fabric quality poor,Quality Issue,product fabric quality poor
Headphones,Received Screen flickering during use,Quality Issue,received screen flickering use
Handbag,Issue: Lid missing during use,Missing Parts,issue lid missing use
Backpack,Color different from image,Color Mismatch,color different image
Shoes,Too loose,Size Issue,loose
Keyboard,Sound quality poor,Quality Issue,sound quality poor
Shoes,Received Different design received during use,Wrong Item,received different design received use
Sandals,Charger missing during use,Missing Parts,charger missing use
Headphones,Product has Power issue during use,Battery Issue,product power issue use
Mixer,Received Incorrect size sent,Wrong Item,received incorrect size sent
Jeans,Battery not charging,Battery Issue,battery charging
Chair,Attachment missing,Missing Parts,attachment missing
