Product,Return_Reason,Category
Table,Received Wrong variant delivered,Wrong Item
Electric Kettle,Issue: Button came off,Quality Issue
Curtains,Product has Incorrect size sent after first use,Wrong Item
Headphones,Issue: Battery dies in two hours during use,Battery Issue
Handbag,Received Won't hold charge during use,Battery Issue
Shoes,Lid missing during use,Missing Parts
Power Bank,Issue: Wrong brand received,Wrong Item
Bedsheet,Issue: Size too large,Size Issue
Backpack,Product has Handle broke during use,Quality Issue
Bluetooth Speaker,Received Leaking bottle,Damaged Product
Table,Product has Pattern different,Color Mismatch
Sandals,Package arrived after event,Delivery Delay
Shirt,Stopped working after one day after first use,Quality Issue
Shirt,Issue: Delivery rescheduled after first use,Delivery Delay
Phone,Received Shuts down suddenly,Battery Issue
Shoes,Received Printed color faded after first use,Color Mismatch
Handbag,Received Ordered medium received small after first use,Size Issue
Curtains,Accessories missing,Missing Parts
Shoes,Product has Leaking bottle,Damaged Product
Sandals,Issue: Scratched item,Damaged Product
T-Shirt,Issue: Length too short after first use,Size Issue
Headphones,Issue: Delivery delayed,Delivery Delay
Air Fryer,Received Fabric quality poor,Quality Issue
Electric Kettle,Product has Charging very slow after first use,Battery Issue
Table,Handle broke,Quality Issue
Water Bottle,Product has Battery swollen after first use,Battery Issue
Sandals,Issue: Stand missing after first use,Missing Parts
Kurti,Fabric quality poor,Quality Issue
Smartwatch,Received One part missing after first use,Missing Parts
Handbag,Display cracked after first use,Damaged Product
Sandals,Received Wrong item delivered after first use,Wrong Item
Mixer,Glass shattered after first use,Damaged Product
T-Shirt,Product has Courier delay during use,Delivery Delay
Shirt,Received Handle broke,Quality Issue
Table,Issue: Charging very slow,Battery Issue
Electric Kettle,Battery swollen,Battery Issue
Bluetooth Speaker,Product has Poor stitching,Quality Issue
Keyboard,Received Ordered medium received small,Size Issue
Curtains,Issue: Charger missing,Missing Parts
Shoes,Received Shuts down suddenly,Battery Issue
Chair,Received Cracked product during use,Damaged Product
Curtains,Issue: Left earbud not working after first use,Quality Issue
Shoes,Issue: Sleeves too short,Size Issue
Helmet,Delayed by one week,Delivery Delay
Shirt,Product has Battery not charging,Battery Issue
Water Bottle,Battery swollen,Battery Issue
Water Bottle,Product has Incorrect size sent,Wrong Item
Air Fryer,Issue: Poor stitching,Quality Issue
Curtains,Left earbud not working,Quality Issue
Keyboard,Received Delivery rescheduled,Delivery Delay
Phone,Received Delayed by one week after first use,Delivery Delay
Table,Different model received after first use,Wrong Item
Shirt,Product has Size too small,Size Issue
Backpack,Product has Package arrived after event after first use,Delivery Delay
Curtains,Issue: Neck too tight after first use,Size Issue
Smartwatch,Received Expected black got blue,Color Mismatch
Water Bottle,Screen flickering,Quality Issue
Headphones,Doesn't fit,Size Issue
Power Bank,Received Accessories missing,Missing Parts
Chair,Issue: Wrong color received,Color Mismatch
Mixer,Expected black got blue,Color Mismatch
Water Bottle,Leaking bottle during use,Damaged Product
Electric Kettle,Product has Scratched item after first use,Damaged Product
Shirt,Product has Ordered medium received small,Size Issue
Air Fryer,Color different from image during use,Color Mismatch
Laptop,Different model received after first use,Wrong Item
Jeans,Product has Lid missing,Missing Parts
Headphones,Poor stitching during use,Quality Issue
Bedsheet,Design color mismatch,Color Mismatch
Kurti,Issue: Handle broke,Quality Issue
Sandals,Product has Ordered medium received small after first use,Size Issue
Air Fryer,Issue: Wrong variant delivered,Wrong Item
Bluetooth Speaker,Product has Design color mismatch,Color Mismatch
Electric Kettle,Cracked product,Damaged Product
Phone,Issue: Battery not charging during use,Battery Issue
T-Shirt,Image misleading,Color Mismatch
Mixer,Issue: Leaking bottle,Damaged Product
Phone,Received Fabric quality poor,Quality Issue
Air Fryer,Product has Sleeves too short,Size Issue
Backpack,Dent on product,Damaged Product
Phone,Wrong variant delivered during use,Wrong Item
Bedsheet,Very slow delivery after first use,Delivery Delay
T-Shirt,Product has Stopped working after one day,Quality Issue
Electric Kettle,Product has Size too small after first use,Size Issue
Water Bottle,Glass shattered,Damaged Product
Shirt,Different model received after first use,Wrong Item
Shoes,Received Needed earlier,Delivery Delay
Jeans,Product has Fit not as expected,Size Issue
Mouse,Charger missing during use,Missing Parts
Water Bottle,Product has Remote missing after first use,Missing Parts
Power Bank,Product has Wrong variant delivered,Wrong Item
Mouse,Issue: Display cracked,Damaged Product
Shoes,Received Delivered too late during use,Delivery Delay
Laptop,Charging very slow after first use,Battery Issue
Curtains,Received Ordered medium received small during use,Size Issue
Table,Package arrived after event,Delivery Delay
Phone,Manual missing,Missing Parts
Electric Kettle,Received Damaged during delivery,Damaged Product
Water Bottle,Very slow delivery after first use,Delivery Delay
Headphones,Product has Battery not charging,Battery Issue
Table,Issue: Sleeves too short,Size Issue
Headphones,Battery overheats,Battery Issue
Shirt,Received Color inaccurate,Color Mismatch
Laptop,Issue: Won't hold charge,Battery Issue
Mouse,Incorrect size sent,Wrong Item
Helmet,Product has Sleeves too short,Size Issue
Air Fryer,Delivered too late after first use,Delivery Delay
Curtains,Product has Battery dies in two hours,Battery Issue
Kurti,Size too small after first use,Size Issue
Water Bottle,Handle broke,Quality Issue
T-Shirt,Received Stand missing,Missing Parts
Phone,Issue: Shade not matching during use,Color Mismatch
Curtains,Shade not matching,Color Mismatch
Sandals,Expected black got blue after first use,Color Mismatch
Bedsheet,Received Manual missing after first use,Missing Parts
Curtains,Battery drains quickly during use,Battery Issue
Helmet,Received Doesn't fit,Size Issue
T-Shirt,Issue: Bent frame after first use,Damaged Product
Headphones,Received Wrong color received,Color Mismatch
Curtains,Received Battery not charging during use,Battery Issue
Laptop,Product has Waist too tight,Size Issue
T-Shirt,Printed color faded,Color Mismatch
Bedsheet,Issue: Lid missing after first use,Missing Parts
Backpack,Received Lid missing,Missing Parts
Mouse,Accessories missing after first use,Missing Parts
Shoes,Battery swollen,Battery Issue
Bluetooth Speaker,Length too short,Size Issue
Backpack,Product has Shade not matching,Color Mismatch
Helmet,Sound quality poor during use,Quality Issue
Handbag,Product has Ordered medium received small,Size Issue
Jeans,Remote missing,Missing Parts
Smartwatch,Package torn,Damaged Product
Mixer,Product has Wrong variant delivered,Wrong Item
Table,Ordered medium received small during use,Size Issue
Water Bottle,Battery drains quickly during use,Battery Issue
Sandals,Left earbud not working during use,Quality Issue
Shirt,Product has Broken on arrival after first use,Damaged Product
Mouse,Different model received,Wrong Item
Mouse,Received Lid missing,Missing Parts
Water Bottle,Issue: Remote missing,Missing Parts
Jeans,Received Battery swollen during use,Battery Issue
Headphones,Received Late shipment,Delivery Delay
Electric Kettle,Doesn't fit,Size Issue
Smartwatch,Pattern different after first use,Color Mismatch
Keyboard,Issue: Ordered medium received small,Size Issue
Headphones,Issue: Delayed by one week,Delivery Delay
Curtains,Material feels cheap,Quality Issue
Electric Kettle,Issue: Battery not charging after first use,Battery Issue
Laptop,Product has Battery backup poor,Battery Issue
Sandals,Issue: Accessories missing after first use,Missing Parts
Bluetooth Speaker,Received Won't hold charge,Battery Issue
Chair,Issue: Material feels cheap,Quality Issue
Keyboard,Issue: Printed color faded,Color Mismatch
Smartwatch,Product has Accessories missing after first use,Missing Parts
Table,Fabric quality poor,Quality Issue
Bluetooth Speaker,Issue: Image misleading during use,Color Mismatch
Phone,Received Delivered too late during use,Delivery Delay
Helmet,Issue: Won't hold charge,Battery Issue
Curtains,Product has One part missing,Missing Parts
Water Bottle,Late shipment,Delivery Delay
Bluetooth Speaker,Issue: Wrong variant delivered,Wrong Item
Mixer,Issue: Cracked product,Damaged Product
Helmet,Wrong color and model after first use,Wrong Item
Smartwatch,Issue: Missed delivery date,Delivery Delay
Keyboard,Product has Color different from image,Color Mismatch
Backpack,Product has Incorrect product,Wrong Item
Laptop,Product has Doesn't fit,Size Issue
Power Bank,Damaged during delivery,Damaged Product
Water Bottle,Issue: Display cracked,Damaged Product
Sandals,Accessories missing after first use,Missing Parts
Helmet,Issue: Design color mismatch after first use,Color Mismatch
Chair,Received Delayed by one week,Delivery Delay
Bedsheet,Shuts down suddenly,Battery Issue
Jeans,Product has Ordered medium received small,Size Issue
Handbag,Product has Package torn after first use,Damaged Product
Keyboard,Wrong color and model,Wrong Item
Handbag,Product has Needed earlier,Delivery Delay
Bluetooth Speaker,Sleeves too short,Size Issue
Backpack,Received Wrong color and model during use,Wrong Item
Power Bank,Received Received another product,Wrong Item
T-Shirt,Stand missing,Missing Parts
Handbag,Pattern different,Color Mismatch
Sandals,Wrong variant delivered during use,Wrong Item
Bluetooth Speaker,Received Sound quality poor,Quality Issue
Laptop,Product has Wrong variant delivered,Wrong Item
Helmet,Issue: Damaged during delivery,Damaged Product
Handbag,Issue: Battery drains quickly,Battery Issue
Backpack,Issue: Wrong color and model,Wrong Item
Bedsheet,Product has Dent on product,Damaged Product
Keyboard,Received Package arrived after event after first use,Delivery Delay
T-Shirt,Issue: Shuts down suddenly after first use,Battery Issue
Electric Kettle,Product has Incorrect product,Wrong Item
Water Bottle,Product has Zip not working,Quality Issue
Water Bottle,Received One part missing,Missing Parts
T-Shirt,Issue: Order mixed up,Wrong Item
Laptop,Stopped working after one day,Quality Issue
Mixer,Issue: Attachment missing,Missing Parts
Laptop,Received Battery overheats during use,Battery Issue
Air Fryer,Product has Needed earlier,Delivery Delay
Handbag,Product has Package arrived after event,Delivery Delay
Power Bank,Received Size too small after first use,Size Issue
Electric Kettle,Product has Won't hold charge during use,Battery Issue
Helmet,Issue: Button came off during use,Quality Issue
Mouse,Issue: Charger missing,Missing Parts
Laptop,Received Neck too tight,Size Issue
Laptop,Pattern different,Color Mismatch
Curtains,Received Package torn,Damaged Product
Backpack,Battery not charging,Battery Issue
Shoes,Incorrect size sent,Wrong Item
Bedsheet,Order mixed up,Wrong Item
Sandals,Product has Image misleading,Color Mismatch
Electric Kettle,Product has Package arrived after event after first use,Delivery Delay
Headphones,Product has Missing screws after first use,Missing Parts
Table,Damaged during delivery after first use,Damaged Product
Curtains,Sound quality poor during use,Quality Issue
Helmet,Incorrect product,Wrong Item
Handbag,Size too large,Size Issue
Power Bank,Issue: Material feels cheap,Quality Issue
Curtains,Product has Order mixed up after first use,Wrong Item
Smartwatch,Waist too tight,Size Issue
Helmet,Product has Different design received during use,Wrong Item
Bedsheet,Handle broke,Quality Issue
T-Shirt,Issue: Different model received after first use,Wrong Item
Keyboard,Product has Display cracked,Damaged Product
Phone,Manual missing,Missing Parts
Curtains,Issue: Missed delivery date,Delivery Delay
Shirt,Damaged during delivery,Damaged Product
Shoes,Needed earlier,Delivery Delay
Handbag,Product has Left earbud not working during use,Quality Issue
Power Bank,Wrong variant delivered,Wrong Item
Mixer,Received Battery drains quickly,Battery Issue
T-Shirt,Accessories missing,Missing Parts
Air Fryer,Received Battery overheats during use,Battery Issue
Water Bottle,Received Different model received after first use,Wrong Item
Backpack,Issue: Material feels cheap,Quality Issue
Smartwatch,Product has Lid missing,Missing Parts
Phone,Battery drains quickly during use,Battery Issue
Sandals,Issue: Delayed by one week after first use,Delivery Delay
Helmet,One part missing after first use,Missing Parts
T-Shirt,Issue: Delivery rescheduled during use,Delivery Delay
Bluetooth Speaker,Received Size too large,Size Issue
Keyboard,Dent on product,Damaged Product
Sandals,Product has Material feels cheap during use,Quality Issue
Kurti,Image misleading,Color Mismatch
Handbag,Product has Size too small,Size Issue
Phone,Delivery rescheduled during use,Delivery Delay
Air Fryer,Received Expected black got blue,Color Mismatch
Handbag,Issue: Scratched item during use,Damaged Product
Power Bank,Issue: Broken on arrival,Damaged Product
Mouse,Issue: Delivery delayed,Delivery Delay
Bedsheet,Stopped working after one day,Quality Issue
Jeans,Charger missing,Missing Parts
Helmet,Size too large,Size Issue
Air Fryer,Received Leaking bottle,Damaged Product
Air Fryer,Leaking bottle,Damaged Product
Curtains,Issue: Package arrived after event,Delivery Delay
Shirt,Received Zip not working,Quality Issue
Keyboard,Received Incorrect product,Wrong Item
Mouse,Product has Doesn't fit during use,Size Issue
Helmet,Product has Left earbud not working after first use,Quality Issue
Laptop,Issue: Material feels cheap after first use,Quality Issue
Electric Kettle,Issue: Wrong color received,Color Mismatch
Power Bank,Stopped working after one day,Quality Issue
Shirt,Battery swollen,Battery Issue
Mouse,Stand missing after first use,Missing Parts
T-Shirt,Issue: Battery overheats,Battery Issue
Backpack,Issue: Pattern different,Color Mismatch
Backpack,Received Display cracked,Damaged Product
Kurti,Issue: Needed earlier,Delivery Delay
Air Fryer,Incorrect product after first use,Wrong Item
Helmet,Received Package torn,Damaged Product
Keyboard,Battery overheats,Battery Issue
Chair,Issue: Sound quality poor,Quality Issue
Mixer,Issue: Attachment missing,Missing Parts
Backpack,Product has Poor stitching,Quality Issue
Bluetooth Speaker,Product has Sleeves too short,Size Issue
Jeans,Received Incorrect size sent after first use,Wrong Item
Power Bank,Length too short,Size Issue
Backpack,Product has Scratched item,Damaged Product
Backpack,Issue: Wrong item delivered during use,Wrong Item
Jeans,Pattern different,Color Mismatch
Electric Kettle,Issue: Bent frame after first use,Damaged Product
Chair,Color inaccurate after first use,Color Mismatch
Power Bank,Product has Display cracked,Damaged Product
Bedsheet,Battery overheats,Battery Issue
Smartwatch,Received Missing screws,Missing Parts
Phone,Incorrect size sent,Wrong Item
Power Bank,Product has Length too short,Size Issue
Helmet,Battery dies in two hours,Battery Issue
Table,Order mixed up,Wrong Item
Keyboard,Product has Sound quality poor after first use,Quality Issue
Phone,Issue: Handle broke,Quality Issue
Water Bottle,Product has Accessories missing after first use,Missing Parts
Water Bottle,Received Color looks different after first use,Color Mismatch
Electric Kettle,Very slow delivery,Delivery Delay
Headphones,Design color mismatch,Color Mismatch
Sandals,Received Damaged during delivery during use,Damaged Product
Bluetooth Speaker,Material feels cheap,Quality Issue
Electric Kettle,Received Neck too tight,Size Issue
Jeans,Received Delivery rescheduled after first use,Delivery Delay
Shoes,Pattern different after first use,Color Mismatch
Laptop,Product has Size too large during use,Size Issue
Chair,Issue: Zip not working,Quality Issue
Power Bank,Received Battery drains quickly,Battery Issue
Jeans,Product has Fabric quality poor,Quality Issue
Headphones,Received Screen flickering during use,Quality Issue
Handbag,Issue: Lid missing during use,Missing Parts
Backpack,Color different from image,Color Mismatch
Shoes,Too loose,Size Issue
Keyboard,Sound quality poor,Quality Issue
Shoes,Received Different design received during use,Wrong Item
Sandals,Charger missing during use,Missing Parts
Headphones,Product has Power issue during use,Battery Issue
Mixer,Received Incorrect size sent,Wrong Item
Jeans,Battery not charging,Battery Issue
Chair,Attachment missing,Missing Parts
Laptop,Issue: Dent on product,Damaged Product
Phone,Product has Battery overheats,Battery Issue
T-Shirt,Product has Received another product,Wrong Item
Power Bank,Neck too tight,Size Issue
Bluetooth Speaker,Different model received after first use,Wrong Item
Water Bottle,Product has Package arrived after event after first use,Delivery Delay
Helmet,Left earbud not working after first use,Quality Issue
Power Bank,Received Design color mismatch,Color Mismatch
Kurti,Different design received,Wrong Item
Smartwatch,Product has Color looks different,Color Mismatch
Headphones,Issue: Expected black got blue,Color Mismatch
Sandals,Received Shade not matching during use,Color Mismatch
Water Bottle,Received Delivery rescheduled during use,Delivery Delay
Handbag,Button came off,Quality Issue
Chair,Product has Incorrect size sent,Wrong Item
Shirt,Fabric quality poor,Quality Issue
Laptop,Stand missing,Missing Parts
Chair,Issue: Incorrect product after first use,Wrong Item
Headphones,Image misleading,Color Mismatch
Keyboard,Battery swollen,Battery Issue
Keyboard,One part missing after first use,Missing Parts
Kurti,Issue: Power issue after first use,Battery Issue
Table,Product has Won't hold charge during use,Battery Issue
Headphones,Issue: Color different from image after first use,Color Mismatch
Water Bottle,Product has Left earbud not working,Quality Issue
Water Bottle,Issue: Scratched item during use,Damaged Product
Jeans,Received Delivered too late,Delivery Delay
Table,Wrong variant delivered,Wrong Item
Handbag,Issue: Charging very slow,Battery Issue
Bluetooth Speaker,Issue: Handle broke after first use,Quality Issue
Water Bottle,Issue: One part missing during use,Missing Parts
Kurti,Issue: Neck too tight after first use,Size Issue
Keyboard,Received Broken on arrival after first use,Damaged Product
Phone,Received Battery overheats,Battery Issue
Smartwatch,Received Zip not working,Quality Issue
Mouse,Product has Delivery rescheduled,Delivery Delay
Shirt,Product has Charging very slow,Battery Issue
Table,Product has Won't hold charge after first use,Battery Issue
Kurti,Too loose after first use,Size Issue
Keyboard,Issue: Incorrect size sent,Wrong Item
Shoes,Product has Waist too tight during use,Size Issue
Phone,Product has Delivery rescheduled during use,Delivery Delay
Electric Kettle,Product has Won't hold charge,Battery Issue
Bedsheet,Received Incorrect size sent during use,Wrong Item
Backpack,Issue: Zip not working after first use,Quality Issue
Laptop,Poor stitching,Quality Issue
Helmet,Remote missing after first use,Missing Parts
Helmet,Delayed by one week,Delivery Delay
Mouse,Product has Fabric quality poor,Quality Issue
Keyboard,Issue: Ordered medium received small,Size Issue
Smartwatch,Product has Neck too tight during use,Size Issue
Table,One part missing,Missing Parts
Bluetooth Speaker,Issue: Remote missing after first use,Missing Parts
Helmet,Left earbud not working during use,Quality Issue
Shirt,Received another product,Wrong Item
Shirt,Issue: Handle broke after first use,Quality Issue
Water Bottle,Image misleading after first use,Color Mismatch
Bluetooth Speaker,Received Stand missing,Missing Parts
Water Bottle,Stand missing,Missing Parts
Smartwatch,Cable missing,Missing Parts
Water Bottle,Needed earlier,Delivery Delay
Mixer,Late shipment,Delivery Delay
Sandals,Remote missing after first use,Missing Parts
T-Shirt,Product has Needed earlier,Delivery Delay
Chair,One part missing,Missing Parts
Handbag,Charging very slow,Battery Issue
Helmet,Issue: Battery swollen,Battery Issue
Headphones,Received Left earbud not working,Quality Issue
Backpack,Ordered medium received small,Size Issue
Jeans,Product has Different design received during use,Wrong Item
Laptop,Delivered too late,Delivery Delay
Helmet,Damaged during delivery,Damaged Product
